Sample_ID,Sample_type,Site,Extraction_date,Julian_day,Month,Season,Depth,Latitude,Longitude,Sample_date,Shoot_Length,Leaf_Width,No_Leaves,Salinity,Temperature,Dataset,Dataset_short,Dislodgment_method,Area,Country,LibrarySize_16S,Bathymetry,Richness_16S,Shannon_16S,Orbital_Velocity_from_Max,Orbital_Velocity_from_Mean,Orbital_Velocity
M_RQ4_SGO_t3_1,old_leaf,Maasholm,18.11.2021,266,September,Autumn,NA,54.687,10.007,23.09.2021,21.5,2,4,15,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,52912,0,370,4.052684972,2.4338127,2.8291429,Growing Season
K_RQ1_SGO_t3_3,old_leaf,Kiel,03.12.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,38,5,3,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,70483,-3.64,147,2.649031136,1.0529108,1.5665299,Growing Season
M_RQ4_SGO_t3_2,old_leaf,Maasholm,25.11.2021,266,September,Autumn,NA,54.687,10.007,23.09.2021,22.2,2,3,15,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,33284,0,107,1.858500952,2.4338127,2.8291429,Growing Season
G_D_SGO_t0_1,old_leaf,Gelting,24.08.2022,131,May,Spring,NA,54.767,9.877,11.05.2022,NA,3,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,64395,-4.09,180,2.54033023,0.7387668,1.0041101,Initial Season
G_D_SGO_t0_2,old_leaf,Gelting,21.09.2022,131,May,Spring,NA,54.767,9.877,11.05.2022,NA,4,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,40573,-4.09,770,5.774300612,0.7387668,1.0041101,Initial Season
G_D_SGO_t0_3,old_leaf,Gelting,07.10.2022,131,May,Spring,NA,54.767,9.877,11.05.2022,NA,2,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,36830,-4.09,723,5.708508056,0.7387668,1.0041101,Initial Season
M_RQ3_SGO_t5_1,old_leaf,Maasholm,08.08.2023,144,May,Spring,NA,54.687,10.007,24.05.2023,NA,4,9,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,75664,0,496,4.990402663,2.4156467,2.7973981,Initial Season
M_RQ3_SGO_t5_2,old_leaf,Maasholm,09.08.2023,144,May,Spring,NA,54.687,10.007,24.05.2023,NA,5,6,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,52035,0,567,5.207881847,2.4156467,2.7973981,Initial Season
M_RQ3_SGO_t5_3,old_leaf,Maasholm,10.08.2023,144,May,Spring,NA,54.687,10.007,24.05.2023,NA,3,7,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,41232,0,757,5.812052866,2.4156467,2.7973981,Initial Season
M_RQ4_SGO_t5_3,old_leaf,Maasholm,10.08.2023,144,May,Spring,NA,54.687,10.007,24.05.2023,NA,3,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,33531,0,354,4.672692008,2.4156467,2.7973981,Initial Season
K_D_SGO_t5_1,old_leaf,Kiel,08.08.2023,142,May,Spring,NA,54.346,10.154,22.05.2023,NA,4,6,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,65057,-3.64,743,5.397235666,0.8972946,1.314783,Initial Season
K_D_SGO_t5_2,old_leaf,Kiel,09.08.2023,142,May,Spring,NA,54.346,10.154,22.05.2023,NA,5,7,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,49456,-3.64,839,5.652074953,0.8972946,1.314783,Initial Season
K_D_SGO_t5_3,old_leaf,Kiel,10.08.2023,142,May,Spring,NA,54.346,10.154,22.05.2023,NA,4,6,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,68691,-3.64,545,5.102720117,0.8972946,1.314783,Initial Season
K_RQ1_SGO_t5_1,old_leaf,Kiel,08.08.2023,143,May,Spring,NA,54.349,10.15,23.05.2023,NA,5,6,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,55857,-3.64,91,1.803407453,1.0040563,1.4885341,Initial Season
K_RQ2_SGO_t5_2,old_leaf,Kiel,09.08.2023,142,May,Spring,NA,54.349,10.15,22.05.2023,NA,5,10,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,25950,-3.64,714,5.866531794,1.0040563,1.4885341,Initial Season
K_RQ2_SGO_t5_3,old_leaf,Kiel,10.08.2023,142,May,Spring,NA,54.349,10.15,22.05.2023,NA,4,7,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,49718,-3.64,585,5.342286332,1.0040563,1.4885341,Initial Season
K_RQ4_SGO_t5_1,old_leaf,Kiel,08.08.2023,143,May,Spring,NA,54.349,10.15,23.05.2023,NA,8,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,76960,-3.64,465,4.220814872,1.0040563,1.4885341,Initial Season
K_RQ4_SGO_t5_2,old_leaf,Kiel,09.08.2023,143,May,Spring,NA,54.349,10.15,23.05.2023,NA,5,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,43082,-3.64,967,6.020830413,1.0040563,1.4885341,Initial Season
K_RQ4_SGO_t5_3,old_leaf,Kiel,10.08.2023,143,May,Spring,NA,54.349,10.15,23.05.2023,NA,4,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,43960,-3.64,715,5.681524255,1.0040563,1.4885341,Initial Season
G_D_SGO_t4_1,old_leaf,Gelting,08.08.2023,171,June,Summer,NA,54.767,9.877,20.06.2023,NA,4.5,6,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,85564,-4.09,521,4.432514552,0.7820864,1.0730525,Growing Season
G_D_SGO_t4_2,old_leaf,Gelting,09.08.2023,171,June,Summer,NA,54.767,9.877,20.06.2023,NA,5,6,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,71821,-4.09,484,4.981031417,0.7820864,1.0730525,Growing Season
G_D_SGO_t4_3,old_leaf,Gelting,10.08.2023,171,June,Summer,NA,54.767,9.877,20.06.2023,NA,3.9,6,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,61758,-4.09,933,5.87358908,0.7820864,1.0730525,Growing Season
G_RQ4_SGO_t4_1,old_leaf,Gelting,08.08.2023,171,June,Summer,NA,54.767,9.877,20.06.2023,NA,3,6,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,35020,-4.09,495,5.068697539,0.7820864,1.0730525,Growing Season
G_RQ4_SGO_t4_2,old_leaf,Gelting,09.08.2023,171,June,Summer,NA,54.767,9.877,20.06.2023,NA,3,5,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,33312,-4.09,785,5.90301671,0.7820864,1.0730525,Growing Season
G_RQ4_SGO_t4_3,old_leaf,Gelting,10.08.2023,171,June,Summer,NA,54.767,9.877,20.06.2023,NA,4,6,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,30529,-4.09,868,6.076801549,0.7820864,1.0730525,Growing Season
M_RQ3_SGO_t3_1,old_leaf,Maasholm,25.11.2021,266,September,Autumn,NA,54.687,10.007,23.09.2021,13.6,2,4,15,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,34829,0,408,5.036286652,2.4338127,2.8291429,Growing Season
K_RQ3_SGO_t3_1,old_leaf,Kiel,25.11.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,36,4,4,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,67927,-3.64,597,5.197888344,1.0529108,1.5665299,Growing Season
K_RQ4_SGO_t3_3,old_leaf,Kiel,10.12.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,40,5,3,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,46488,-3.64,530,5.207402234,1.0529108,1.5665299,Growing Season
M_RQ3_SGO_t3_2,old_leaf,Maasholm,03.12.2021,266,September,Autumn,NA,54.687,10.007,23.09.2021,43.5,2,5,15,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,14818,0,264,4.740074403,2.4338127,2.8291429,Growing Season
K_RQ3_SGO_t3_2,old_leaf,Kiel,26.11.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,32,5,3,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,33123,-3.64,467,5.130875384,1.0529108,1.5665299,Growing Season
M_RQ3_SGO_t3_3,old_leaf,Maasholm,18.11.2021,266,September,Autumn,NA,54.687,10.007,23.09.2021,21.6,3,4,15,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,40774,0,531,5.117967185,2.4338127,2.8291429,Growing Season
K_RQ2_SGO_t3_1,old_leaf,Kiel,25.11.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,31,4,4,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,125434,-3.64,89,1.684958078,1.0529108,1.5665299,Growing Season
K_RQ3_SGO_t3_3,old_leaf,Kiel,06.12.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,27.3,3,4,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,47342,-3.64,720,5.625356535,1.0529108,1.5665299,Growing Season
SGO_10_Kos,old_leaf,Koster,09.11.2022,181,June,Summer,2.5,58.883,10.992,30.06.2021,NA,6,5,NA,NA,Seastore_Project,SP,whole_leaf,Kosterfjord,Sweden,37301,0,399,4.526612936,1.4290624,1.6333477,Growing Season
K_RQ2_SGO_t3_2,old_leaf,Kiel,10.12.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,39.5,4,4,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,61283,-3.64,283,3.166429881,1.0529108,1.5665299,Growing Season
SGO_20_Kos,old_leaf,Koster,30.11.2022,181,June,Summer,2.5,58.883,10.992,30.06.2021,NA,9,7,NA,NA,Seastore_Project,SP,whole_leaf,Kosterfjord,Sweden,64836,0,409,4.860652172,1.4290624,1.6333477,Growing Season
K_RQ1_SGO_t3_1,old_leaf,Kiel,25.11.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,23,3,3,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,55093,-3.64,273,3.050689503,1.0529108,1.5665299,Growing Season
K_RQ2_SGO_t3_3,old_leaf,Kiel,06.12.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,34.5,4,4,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,47961,-3.64,704,5.633347051,1.0529108,1.5665299,Growing Season
K_RQ1_SGO_t3_2,old_leaf,Kiel,06.12.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,34.5,4,4,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,73029,-3.64,145,2.491887184,1.0529108,1.5665299,Growing Season
K_D_SGO_t3_1,old_leaf,Kiel,25.11.2021,271,September,Autumn,NA,54.346,10.154,28.09.2021,59,3,3,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,44433,-3.64,300,3.892349634,0.9446021,1.3919636,Growing Season
K_RQ4_SGO_t3_1,old_leaf,Kiel,25.11.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,28.8,3,3,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,61072,-3.64,608,5.36885547,1.0529108,1.5665299,Growing Season
K_D_SGO_t3_2,old_leaf,Kiel,10.12.2021,271,September,Autumn,NA,54.346,10.154,28.09.2021,63.5,3,4,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,129403,-3.64,193,2.202015446,0.9446021,1.3919636,Growing Season
K_RQ4_SGO_t3_2,old_leaf,Kiel,10.12.2021,272,September,Autumn,NA,54.349,10.15,29.09.2021,34.4,3.5,3,16,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,57604,-3.64,731,5.573018805,1.0529108,1.5665299,Growing Season
M_RQ4_SGO_t4_3,old_leaf,Maasholm,12.10.2022,132,May,Spring,NA,54.687,10.007,12.05.2022,22.6,3,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,35636,0,903,5.869976697,2.4156467,2.7973981,Initial Season
M_RQ3_SGO_t4_1,old_leaf,Maasholm,24.08.2022,132,May,Spring,NA,54.687,10.007,12.05.2022,26,4,5,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,29826,0,382,4.891937583,2.4156467,2.7973981,Initial Season
M_RQ4_SGO_t4_1,old_leaf,Maasholm,24.08.2022,132,May,Spring,NA,54.687,10.007,12.05.2022,32,4,5,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,29332,0,690,5.625169115,2.4156467,2.7973981,Initial Season
M_RQ4_SGO_t4_2,old_leaf,Maasholm,21.09.2022,132,May,Spring,NA,54.687,10.007,12.05.2022,39.2,5,5,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,51052,0,978,5.92008829,2.4156467,2.7973981,Initial Season
K_D_SGO_t4_3,old_leaf,Kiel,07.10.2022,146,May,Spring,NA,54.346,10.154,26.05.2022,31.3,4,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,54009,-3.64,179,1.321272903,0.8972946,1.314783,Initial Season
K_RQ2_SGO_t4_2,old_leaf,Kiel,21.09.2022,145,May,Spring,NA,54.349,10.15,25.05.2022,24.2,3,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,17485,-3.64,317,4.160320963,1.0040563,1.4885341,Initial Season
K_RQ2_SGO_t4_3,old_leaf,Kiel,12.10.2022,145,May,Spring,NA,54.349,10.15,25.05.2022,29.4,3,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,47748,-3.64,379,4.212486945,1.0040563,1.4885341,Initial Season
K_RQ1_SGO_t4_2,old_leaf,Kiel,21.09.2022,145,May,Spring,NA,54.349,10.15,25.05.2022,19.8,2.5,3,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,7821,-3.64,118,3.309162815,1.0040563,1.4885341,Initial Season
K_RQ1_SGO_t4_3,old_leaf,Kiel,12.10.2022,145,May,Spring,NA,54.349,10.15,25.05.2022,37,3,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,42027,-3.64,318,3.730011438,1.0040563,1.4885341,Initial Season
L_11_SGO_y,old_leaf,GEOMAR_Lab,17.12.2021,274,October,Autumn,NA,NA,NA,01.10.2021,62,4,4,NA,NA,Seastore_Project,SP,whole_leaf,Lab,Germany,25749,NA,828,5.925669744,NA,NA,Growing Season
K_RQ4_SGO_t4_3,old_leaf,Kiel,12.10.2022,145,May,Spring,NA,54.349,10.15,25.05.2022,25.6,3,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,54683,-3.64,182,2.538683823,1.0040563,1.4885341,Initial Season
M_N_SGO_t0_1,old_leaf,Maasholm,06.12.2021,160,June,Summer,NA,54.687,10.007,09.06.2021,16.6,2,5,15,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,42140,0,111,2.7236503,2.4338127,2.8291429,Growing Season
K_RQ3_SGO_t4_3,old_leaf,Kiel,12.10.2022,145,May,Spring,NA,54.349,10.15,25.05.2022,31.1,4,4,NA,NA,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,61559,-3.64,292,2.965899324,1.0040563,1.4885341,Initial Season
ASR_SGO_3,old_leaf,Askerön,21.10.2022,202,July,Summer,NA,58.084,11.734,21.07.2021,31.5,5,7,NA,NA,Seastore_Project,SP,whole_leaf,Askeröfjord,Sweden,47221,-2.55,426,3.942460084,0.2900472,0.3376731,Growing Season
GD_SGO_2,old_leaf,Gasö,09.11.2022,208,July,Summer,NA,58.231,11.398,27.07.2021,118.2,1,5,NA,NA,Seastore_Project,SP,whole_leaf,Gasöfjord,Sweden,28383,-2.55,632,5.623505134,0.2900472,0.3376731,Growing Season
GR19_SGO_3,old_leaf,Gasö,NA,208,July,Summer,NA,58.231,11.398,27.07.2021,109.5,9,5,NA,NA,Seastore_Project,SP,whole_leaf,Gasöfjord,Sweden,68603,-2.55,722,5.023288415,0.2900472,0.3376731,Growing Season
ASD_SGO_1,old_leaf,Askerön,03.11.2021,202,July,Summer,NA,58.084,11.717,21.07.2021,45.2,3.5,4,NA,NA,Seastore_Project,SP,whole_leaf,Askeröfjord,Sweden,31495,-3.05,505,4.77603528,1.3305782,1.9033149,Growing Season
KR2_SGO_1,old_leaf,Koster,21.10.2022,222,August,Summer,NA,58.883,11.005,10.08.2021,48.6,6.5,6,NA,NA,Seastore_Project,SP,whole_leaf,Kosterfjord,Sweden,30661,0,535,5.329737834,1.4290624,1.6333477,Growing Season
GD_SGO_3,old_leaf,Gasö,08.11.2022,208,July,Summer,NA,58.231,11.398,27.07.2021,78.5,7,5,NA,NA,Seastore_Project,SP,whole_leaf,Gasöfjord,Sweden,45674,-2.55,407,3.804023564,0.2900472,0.3376731,Growing Season
GR15_SGO_1,old_leaf,Gasö,NA,208,July,Summer,NA,58.231,11.398,27.07.2021,60.1,7,4,NA,NA,Seastore_Project,SP,whole_leaf,Gasöfjord,Sweden,21223,-2.55,674,5.769626627,0.2900472,0.3376731,Growing Season
GR19_SGO_2_2,old_leaf,Gasö,18.11.2022,208,July,Summer,NA,58.231,11.398,27.07.2021,NA,NA,NA,NA,NA,Seastore_Project,SP,whole_leaf,Gasöfjord,Sweden,17177,-2.55,322,4.646137683,0.2900472,0.3376731,Growing Season
KR2_SGO_2,old_leaf,Koster,09.11.2022,222,August,Summer,NA,58.883,11.005,10.08.2021,49.5,5.5,7,NA,NA,Seastore_Project,SP,whole_leaf,Kosterfjord,Sweden,33741,0,500,5.181935103,1.4290624,1.6333477,Growing Season
GR15_SGO_3,old_leaf,Gasö,NA,208,July,Summer,NA,58.231,11.398,27.07.2021,44.5,6,6,NA,NA,Seastore_Project,SP,whole_leaf,Gasöfjord,Sweden,30640,-2.55,746,5.816490122,0.2900472,0.3376731,Growing Season
KR1_SGO_1,old_leaf,Koster,21.10.2022,222,August,Summer,NA,58.864,11.038,10.08.2021,32,5,5,NA,NA,Seastore_Project,SP,whole_leaf,Kosterfjord,Sweden,43294,0,779,5.63845981,1.4100779,1.6219851,Growing Season
KR1_SGO_2,old_leaf,Koster,21.10.2022,222,August,Summer,NA,58.864,11.038,10.08.2021,17.9,3.5,5,NA,NA,Seastore_Project,SP,whole_leaf,Kosterfjord,Sweden,63712,0,822,5.608749504,1.4100779,1.6219851,Growing Season
KR1_SGO_3,old_leaf,Koster,21.10.2022,222,August,Summer,NA,58.864,11.038,10.08.2021,36.4,6.5,7,NA,NA,Seastore_Project,SP,whole_leaf,Kosterfjord,Sweden,35128,0,538,5.276444281,1.4100779,1.6219851,Growing Season
ASR_SGO_1,old_leaf,Askerön,21.10.2022,202,July,Summer,NA,58.084,11.734,21.07.2021,38.4,6,6,NA,NA,Seastore_Project,SP,whole_leaf,Askeröfjord,Sweden,26975,0,567,5.420190957,3.7054562,4.4571502,Growing Season
ASD_SGO_3,old_leaf,Askerön,29.09.2021,202,July,Summer,NA,58.084,11.717,21.07.2021,83.4,5,5,NA,NA,Seastore_Project,SP,whole_leaf,Askeröfjord,Sweden,7624,0,236,4.781051345,3.7054562,4.4571502,Growing Season
ASR_SGO_2,old_leaf,Askerön,21.10.2022,202,July,Summer,NA,58.084,11.734,21.07.2021,38.6,5,6,NA,NA,Seastore_Project,SP,whole_leaf,Askeröfjord,Sweden,31430,0,654,5.579843072,3.7054562,4.4571502,Growing Season
GR19_SGO_1,old_leaf,Gasö,09.11.2022,208,July,Summer,NA,58.231,11.398,27.07.2021,96.4,6,6,NA,NA,Seastore_Project,SP,whole_leaf,Gasöfjord,Sweden,47627,-2.55,1166,6.400585585,0.2900472,0.3376731,Growing Season
ASD_SGO_2,old_leaf,Askerön,08.11.2022,202,July,Summer,NA,58.084,11.717,21.07.2021,57,5,3,NA,NA,Seastore_Project,SP,whole_leaf,Askeröfjord,Sweden,8397,0,260,4.785333272,3.7054562,4.4571502,Growing Season
GD_SGO_1,old_leaf,Gasö,NA,202,July,Summer,NA,58.231,11.398,21.07.2021,87.6,8,5,NA,NA,Seastore_Project,SP,whole_leaf,Gasöfjord,Sweden,67536,0,1143,6.102226575,3.7054562,4.4571502,Growing Season
BV2-SGY-3,young_leaf,Bökevik2,24.09.2021,209,July,Summer,5,58.24901,11.44854,28.07.2021,31,4.5,6,24,NA,Germination_Experiment,GE,whole_leaf,Gasöfjord,Sweden,22902,0,260,4.637795067,1.3837054,1.5983524,Growing Season
BV1-SGY-3,young_leaf,Bökevik1,19.08.2021,201,July,Summer,5,58.24901,11.44854,20.07.2021,25,4,4,25.5,NA,Germination_Experiment,GE,whole_leaf,Gasöfjord,Sweden,34136,0,294,4.710057296,1.3837054,1.5983524,Growing Season
BV3-SGO-3,old_leaf,Bökevik3,16.11.2021,214,August,Summer,5,58.24901,11.44854,02.08.2021,102,6,4,24,NA,Germination_Experiment,GE,whole_leaf,Gasöfjord,Sweden,41841,0,346,4.33749637,1.3837054,1.5983524,Growing Season
BV2-SGO-3,old_leaf,Bökevik2,24.09.2021,209,July,Summer,5,58.24901,11.44854,28.07.2021,149,6,4,24,NA,Germination_Experiment,GE,whole_leaf,Gasöfjord,Sweden,10824,0,155,2.941558701,1.3837054,1.5983524,Growing Season
BV1-SGO-3,old_leaf,Bökevik1,19.08.2021,201,July,Summer,5,58.24901,11.44854,20.07.2021,64,4.5,5,25.5,NA,Germination_Experiment,GE,whole_leaf,Gasöfjord,Sweden,37506,0,10,0.0634952273,1.3837054,1.5983524,Growing Season
BV3-SGY-3,young_leaf,Bökevik3,19.08.2021,214,August,Summer,5,58.24901,11.44854,02.08.2021,25,4,5,24,NA,Germination_Experiment,GE,whole_leaf,Gasöfjord,Sweden,16061,0,214,3.917070458,1.3837054,1.5983524,Growing Season
BV4-SGO-3,old_leaf,Bökevik4,01.10.2021,223,August,Summer,5,58.24901,11.44854,11.08.2021,66,5,4,23,NA,Germination_Experiment,GE,whole_leaf,Gasöfjord,Sweden,50716,0,427,4.802604702,1.3837054,1.5983524,Growing Season